sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1382472,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1382472/fastq/SRR1275463.fastq.gz,,1,H3K27ac,GSM1382474,1
GSM1382474,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1382474/fastq/SRR1275465.fastq.gz,,1,,,
GSM1382482,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1382482/fastq/SRR1275473.fastq.gz,,1,H3K27ac,GSM1382484,1
GSM1382484,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1382484/fastq/SRR1275475.fastq.gz,,1,,,
GSM1415884,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1415884/fastq/SRR1425182_1.fastq.gz,,1,H3K27ac,GSM1415888,1
GSM1415888,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1415888/fastq/SRR1425186.fastq.gz,,1,,,
GSM1418963,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1418963/fastq/SRR1448780.fastq.gz,,1,H3K27ac,GSM1418971,1
GSM1418971,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1418971/fastq/SRR1448788.fastq.gz,,1,,,
GSM1418964,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1418964/fastq/SRR1448781.fastq.gz,,1,H3K27ac,GSM1418972,1
GSM1418972,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1418972/fastq/SRR1448789.fastq.gz,,1,,,
GSM1421317,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1421317/fastq/SRR1481506.fastq.gz,,1,H3K27ac,GSM1421318,1
GSM1421318,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1421318/fastq/SRR1481507.fastq.gz,,1,,,
GSM1421320,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1421320/fastq/SRR1481509.fastq.gz,,1,H3K27ac,GSM1421323,1
GSM1421323,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1421323/fastq/SRR1481512.fastq.gz,,1,,,
GSM1519634,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519634/fastq/SRR1603646.fastq.gz,,1,H3K27ac,GSM1519636,1
GSM1519636,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519636/fastq/SRR1603648.fastq.gz,,1,,,
GSM1519638,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519638/fastq/SRR1603650.fastq.gz,,1,H3K27ac,GSM1519637,1
GSM1519637,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519637/fastq/SRR1603649.fastq.gz,,1,,,
GSM1519642,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519642/fastq/SRR1603654.fastq.gz,,1,H3K27ac,GSM1519640,1
GSM1519640,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1519640/fastq/SRR1603652.fastq.gz,,1,,,
GSM1443805,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1443805/fastq/SRR1523492.fastq.gz,,1,H3K27ac,GSM1443817,1
GSM1443817,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1443817/fastq/SRR1523504.fastq.gz,,1,,,
GSM1443806,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1443806/fastq/SRR1523493.fastq.gz,,1,H3K27ac,GSM1443818,1
GSM1443818,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1443818/fastq/SRR1523505.fastq.gz,,1,,,
GSM1446919,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1446919/fastq/SRR1528617.fastq.gz,,1,H3K27ac,GSM1446918,1
GSM1446918,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1446918/fastq/SRR1528616.fastq.gz,,1,,,
GSM1498904,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1498904/fastq/SRR1566132.fastq.gz,,1,H3K27ac,GSM1498912,1
